inv_name,def_date,def_time,pac,meta_upload_date,p_ges,p_gues
wr05,02.03.20,19:05:00,0,20200302,0.0,0.0
wr05,02.03.20,19:10:00,0,20200302,0.0,0.0
wr05,02.03.20,19:15:00,0,20200302,0.0,0.0
wr05,02.03.20,19:20:00,0,20200302,0.0,0.0
wr05,02.03.20,19:25:00,0,20200302,0.0,0.0
wr05,02.03.20,19:30:00,0,20200302,0.0,0.0
wr05,02.03.20,19:35:00,0,20200302,0.0,0.0
wr05,02.03.20,19:40:00,0,20200302,0.0,0.0
wr05,02.03.20,19:45:00,0,20200302,0.0,0.0
wr05,02.03.20,19:50:00,0,20200302,0.0,0.0
wr05,02.03.20,19:55:00,0,20200302,0.0,0.0
wr05,02.03.20,20:00:00,0,20200302,0.0,0.0
wr05,02.03.20,20:05:00,0,20200302,0.0,0.0
wr05,02.03.20,20:10:00,0,20200302,0.0,0.0
wr05,02.03.20,20:15:00,0,20200302,0.0,0.0
wr05,02.03.20,20:20:00,0,20200302,0.0,0.0
wr05,02.03.20,20:25:00,0,20200302,0.0,0.0
wr05,02.03.20,20:30:00,0,20200302,0.0,0.0
wr05,02.03.20,20:35:00,0,20200302,0.0,0.0
wr05,02.03.20,20:40:00,0,20200302,0.0,0.0
wr05,02.03.20,20:45:00,0,20200302,0.0,0.0
wr05,02.03.20,20:50:00,0,20200302,0.0,0.0
wr05,02.03.20,20:55:00,0,20200302,0.0,0.0
wr05,02.03.20,21:00:00,0,20200302,0.0,0.0
wr05,02.03.20,21:05:00,0,20200302,0.0,0.0
wr05,02.03.20,21:10:00,0,20200302,0.0,0.0
wr05,02.03.20,21:15:00,0,20200302,0.0,0.0
wr05,02.03.20,21:20:00,0,20200302,0.0,0.0
wr05,02.03.20,21:25:00,0,20200302,0.0,0.0
wr05,02.03.20,21:30:00,0,20200302,0.0,0.0
wr05,02.03.20,21:35:00,0,20200302,0.0,0.0
wr05,02.03.20,21:40:00,0,20200302,0.0,0.0
wr05,02.03.20,21:45:00,0,20200302,0.0,0.0
wr05,02.03.20,21:50:00,0,20200302,0.0,0.0
wr05,02.03.20,21:55:00,0,20200302,0.0,0.0
wr05,02.03.20,22:00:00,0,20200302,0.0,0.0
wr05,02.03.20,22:05:00,0,20200302,0.0,0.0
wr05,02.03.20,22:10:00,0,20200302,0.0,0.0
wr05,02.03.20,22:15:00,0,20200302,0.0,0.0
wr05,02.03.20,22:20:00,0,20200302,0.0,0.0
wr05,02.03.20,22:25:00,0,20200302,0.0,0.0
wr05,02.03.20,22:30:00,0,20200302,0.0,0.0
wr05,02.03.20,22:35:00,0,20200302,0.0,0.0
wr05,02.03.20,22:40:00,0,20200302,0.0,0.0
wr05,02.03.20,22:45:00,0,20200302,0.0,0.0
wr05,02.03.20,22:50:00,0,20200302,0.0,0.0
wr05,02.03.20,22:55:00,0,20200302,0.0,0.0
wr05,02.03.20,23:00:00,0,20200302,0.0,0.0
wr05,02.03.20,23:05:00,0,20200302,0.0,0.0
wr05,02.03.20,23:10:00,0,20200302,0.0,0.0
wr05,02.03.20,23:15:00,0,20200302,0.0,0.0
wr05,02.03.20,23:20:00,0,20200302,0.0,0.0
wr05,02.03.20,23:25:00,0,20200302,0.0,0.0
wr05,02.03.20,23:30:00,0,20200302,0.0,0.0
wr05,02.03.20,23:35:00,0,20200302,0.0,0.0
wr05,02.03.20,23:40:00,0,20200302,0.0,0.0
wr05,02.03.20,23:45:00,0,20200302,0.0,0.0
wr05,02.03.20,23:50:00,0,20200302,0.0,0.0
wr05,02.03.20,23:55:00,0,20200302,0.0,0.0
wr06,02.03.20,00:00:00,0,20200302,0.0,0.0
wr06,02.03.20,00:05:00,0,20200302,0.0,0.0
wr06,02.03.20,00:10:00,0,20200302,0.0,0.0
wr06,02.03.20,00:15:00,0,20200302,0.0,0.0
wr06,02.03.20,00:20:00,0,20200302,0.0,0.0
wr06,02.03.20,00:25:00,0,20200302,0.0,0.0
wr06,02.03.20,00:30:00,0,20200302,0.0,0.0
wr06,02.03.20,00:35:00,0,20200302,0.0,0.0
wr06,02.03.20,00:40:00,0,20200302,0.0,0.0
wr06,02.03.20,00:45:00,0,20200302,0.0,0.0
wr06,02.03.20,00:50:00,0,20200302,0.0,0.0
wr06,02.03.20,00:55:00,0,20200302,0.0,0.0
wr06,02.03.20,01:00:00,0,20200302,0.0,0.0
wr06,02.03.20,01:05:00,0,20200302,0.0,0.0
wr06,02.03.20,01:10:00,0,20200302,0.0,0.0
wr06,02.03.20,01:15:00,0,20200302,0.0,0.0
wr06,02.03.20,01:20:00,0,20200302,0.0,0.0
wr06,02.03.20,01:25:00,0,20200302,0.0,0.0
wr06,02.03.20,01:30:00,0,20200302,0.0,0.0
wr06,02.03.20,01:35:00,0,20200302,0.0,0.0
wr06,02.03.20,01:40:00,0,20200302,0.0,0.0
wr06,02.03.20,01:45:00,0,20200302,0.0,0.0
wr06,02.03.20,01:50:00,0,20200302,0.0,0.0
wr06,02.03.20,01:55:00,0,20200302,0.0,0.0
wr06,02.03.20,02:00:00,0,20200302,0.0,0.0
wr06,02.03.20,02:05:00,0,20200302,0.0,0.0
wr06,02.03.20,02:10:00,0,20200302,0.0,0.0
wr06,02.03.20,02:15:00,0,20200302,0.0,0.0
wr06,02.03.20,02:20:00,0,20200302,0.0,0.0
wr06,02.03.20,02:25:00,0,20200302,0.0,0.0
wr06,02.03.20,02:30:00,0,20200302,0.0,0.0
wr06,02.03.20,02:35:00,0,20200302,0.0,0.0
wr06,02.03.20,02:40:00,0,20200302,0.0,0.0
wr06,02.03.20,02:45:00,0,20200302,0.0,0.0
wr06,02.03.20,02:50:00,0,20200302,0.0,0.0
wr06,02.03.20,02:55:00,0,20200302,0.0,0.0
wr06,02.03.20,03:00:00,0,20200302,0.0,0.0
wr06,02.03.20,03:05:00,0,20200302,0.0,0.0
wr06,02.03.20,03:10:00,0,20200302,0.0,0.0
wr06,02.03.20,03:15:00,0,20200302,0.0,0.0
wr06,02.03.20,03:20:00,0,20200302,0.0,0.0
wr06,02.03.20,03:25:00,0,20200302,0.0,0.0
wr06,02.03.20,03:30:00,0,20200302,0.0,0.0
wr06,02.03.20,03:35:00,0,20200302,0.0,0.0
wr06,02.03.20,03:40:00,0,20200302,0.0,0.0
wr06,02.03.20,03:45:00,0,20200302,0.0,0.0
wr06,02.03.20,03:50:00,0,20200302,0.0,0.0
wr06,02.03.20,03:55:00,0,20200302,0.0,0.0
wr06,02.03.20,04:00:00,0,20200302,0.0,0.0
wr06,02.03.20,04:05:00,0,20200302,0.0,0.0
wr06,02.03.20,04:10:00,0,20200302,0.0,0.0
wr06,02.03.20,04:15:00,0,20200302,0.0,0.0
wr06,02.03.20,04:20:00,0,20200302,0.0,0.0
wr06,02.03.20,04:25:00,0,20200302,0.0,0.0
wr06,02.03.20,04:30:00,0,20200302,0.0,0.0
wr06,02.03.20,04:35:00,0,20200302,0.0,0.0
wr06,02.03.20,04:40:00,0,20200302,0.0,0.0
wr06,02.03.20,04:45:00,0,20200302,0.0,0.0
wr06,02.03.20,04:50:00,0,20200302,0.0,0.0
wr06,02.03.20,04:55:00,0,20200302,0.0,0.0
wr06,02.03.20,05:00:00,0,20200302,0.0,0.0
wr06,02.03.20,05:05:00,0,20200302,0.0,0.0
